type	key	name	lead
pref	aichi	愛知県	
pref	chiba	千葉県	
pref	kanagawa	神奈川県	
pref	mie	三重県	
pref	osaka	大阪府	
pref	shizuoka	静岡県	
pref	tokyo	東京都	
pref	wakayama	和歌山県	
area	aichi/enshu-nada	遠州灘	
area	aichi/isewan	伊勢湾	
area	aichi/mikawa-bay	三河湾	
area	chiba/kujukuri	九十九里	
area	chiba/sotobo	外房	
area	chiba/tokyobay	東京湾	
area	chiba/uchibo	内房	
area	kanagawa/miura	三浦半島	
area	kanagawa/sagamibay	相模湾	
area	kanagawa/tokyobay	東京湾	
area	mie/isewan	伊勢湾	
area	mie/kumano-nada	熊野灘	
area	mie/shima-minami-ise	志摩・南伊勢	
area	osaka/osakawan	大阪湾	
area	shizuoka/enshu-nada	遠州灘	
area	shizuoka/higashi-izu	東伊豆	
area	shizuoka/minami-izu	南伊豆	
area	shizuoka/nishi-izu	西伊豆	
area	shizuoka/suruga-bay	駿河湾	
area	tokyo/tokyobay	東京湾	
area	wakayama/kii-suido-wakayama	紀伊水道（和歌山）	
area	wakayama/kumano-nada	熊野灘	
city	aichi/enshu-nada/tahara	田原市	
city	aichi/isewan/chita	知多市	
city	aichi/isewan/minamichita	南知多町	
city	aichi/isewan/nagoya	名古屋市	
city	aichi/isewan/tobishima	飛島村	
city	aichi/isewan/tokai	東海市	
city	aichi/isewan/tokoname	常滑市	
city	aichi/isewan/yatomi	弥富市	
city	aichi/mikawa-bay/gamagori	蒲郡市	
city	aichi/mikawa-bay/handa	半田市	
city	aichi/mikawa-bay/hekinan	碧南市	
city	aichi/mikawa-bay/mihama	美浜町	
city	aichi/mikawa-bay/minamichita	南知多町	
city	aichi/mikawa-bay/nishio	西尾市	
city	aichi/mikawa-bay/tahara	田原市	
city	aichi/mikawa-bay/taketoyo	武豊町	
city	aichi/mikawa-bay/toyohashi	豊橋市	
city	aichi/mikawa-bay/toyooka	豊岡市	
city	chiba/kujukuri/asahi	旭市	
city	chiba/kujukuri/choshi	銚子市	
city	chiba/kujukuri/kujukuri	九十九里町	
city	chiba/kujukuri/oamishiarasato	大網白里市	
city	chiba/kujukuri/sanmu	山武市	
city	chiba/kujukuri/sousa	匝瑳市	
city	chiba/kujukuri/yokoshibahikari	横芝光町	
city	chiba/sotobo/chousei	長生村	
city	chiba/sotobo/ichinomiya	一宮町	
city	chiba/sotobo/isumi	いすみ市	
city	chiba/sotobo/kamogawa	鴨川市	
city	chiba/sotobo/katsuura	勝浦市	
city	chiba/sotobo/minamiboso	南房総市	
city	chiba/sotobo/onjuku	御宿町	
city	chiba/tokyobay/chiba	千葉市	
city	chiba/tokyobay/futtsu	富津市	
city	chiba/tokyobay/ichihara	市原市	
city	chiba/tokyobay/ichikawa	市川市	
city	chiba/tokyobay/kisarazu	木更津市	
city	chiba/tokyobay/urayasu	浦安市	
city	chiba/uchibo/futtsu	富津市	
city	chiba/uchibo/kyonan	鋸南町	
city	chiba/uchibo/minamiboso	南房総市	
city	chiba/uchibo/tateyama	館山市	
city	kanagawa/miura/hayama	葉山町	
city	kanagawa/miura/miura	三浦市	
city	kanagawa/miura/yokosuka	横須賀市	
city	kanagawa/sagamibay/chigasaki	茅ヶ崎市	
city	kanagawa/sagamibay/fujisawa	藤沢市	
city	kanagawa/sagamibay/hiratsuka	平塚市	
city	kanagawa/sagamibay/kamakura	鎌倉市	
city	kanagawa/sagamibay/manazuru	真鶴町	
city	kanagawa/sagamibay/ninomiya	二宮町	
city	kanagawa/sagamibay/odawara	小田原市	
city	kanagawa/sagamibay/oiso	大磯町	
city	kanagawa/sagamibay/yugawara	湯河原町	
city	kanagawa/tokyobay/kawasaki	川崎市	
city	kanagawa/tokyobay/yokohama	横浜市	
city	mie/isewan/ise	伊勢市	
city	mie/isewan/kawagoe	川越町	
city	mie/isewan/kuwana	桑名市	
city	mie/isewan/meiwa	明和町	
city	mie/isewan/suzuka	鈴鹿市	
city	mie/isewan/tsu	津市	
city	mie/isewan/yokkaichi	四日市市	
city	mie/kumano-nada/kiho	紀宝町	
city	mie/kumano-nada/kihoku	紀北町	
city	mie/kumano-nada/kumano	熊野市	
city	mie/kumano-nada/owase	尾鷲市	
city	mie/shima-minami-ise/minamiise	南伊勢町	
city	mie/shima-minami-ise/shima	志摩市	
city	mie/shima-minami-ise/taiki	大紀町	
city	mie/shima-minami-ise/toba	鳥羽市	
city	osaka/osakawan/hannan	阪南市	
city	osaka/osakawan/izumiotsu	泉大津市	
city	osaka/osakawan/izumisano	泉佐野市	
city	osaka/osakawan/kaizuka	貝塚市	
city	osaka/osakawan/kishiwada	岸和田市	
city	osaka/osakawan/misaki	岬町	
city	osaka/osakawan/osaka	大阪市	
city	osaka/osakawan/sakai	堺市	
city	osaka/osakawan/sennan	泉南市	
city	osaka/osakawan/tadaoka	忠岡町	
city	osaka/osakawan/tajiri	田尻町	
city	osaka/osakawan/takaishi	高石市	
city	shizuoka/enshu-nada/hamamatsu	浜松市	
city	shizuoka/enshu-nada/iwata	磐田市	
city	shizuoka/enshu-nada/kakegawa	掛川市	
city	shizuoka/enshu-nada/kosai	湖西市	
city	shizuoka/enshu-nada/omaezaki	御前崎市	
city	shizuoka/higashi-izu/atami	熱海市	
city	shizuoka/higashi-izu/higashiizu	東伊豆町	
city	shizuoka/higashi-izu/ito	伊東市	
city	shizuoka/higashi-izu/shimoda	下田市	
city	shizuoka/minami-izu/minamiizu	南伊豆町	
city	shizuoka/minami-izu/shimoda	下田市	
city	shizuoka/nishi-izu/izu	伊豆市	
city	shizuoka/nishi-izu/matsuzaki	松崎町	
city	shizuoka/nishi-izu/minamiizu	南伊豆町	
city	shizuoka/nishi-izu/nishiizu	西伊豆町	
city	shizuoka/nishi-izu/numazu	沼津市	
city	shizuoka/suruga-bay/fuji	富士市	
city	shizuoka/suruga-bay/makinohara	牧之原市	
city	shizuoka/suruga-bay/omaezaki	御前崎市	
city	shizuoka/suruga-bay/shizuoka	静岡市	
city	shizuoka/suruga-bay/yaizu	焼津市	
city	shizuoka/suruga-bay/yoshida	吉田町	
city	tokyo/tokyobay/koto	江東区	
city	tokyo/tokyobay/koutou	江東区	
city	tokyo/tokyobay/ota	大田区	
city	wakayama/kii-suido-wakayama/arida	有田市	
city	wakayama/kii-suido-wakayama/gobo	御坊市	
city	wakayama/kii-suido-wakayama/hirokawa	広川町	
city	wakayama/kii-suido-wakayama/kainan	海南市	
city	wakayama/kii-suido-wakayama/kushimoto	串本町	
city	wakayama/kii-suido-wakayama/mihama	美浜町	
city	wakayama/kii-suido-wakayama/shirahama	白浜町	
city	wakayama/kii-suido-wakayama/susami	すさみ町	
city	wakayama/kii-suido-wakayama/tanabe	田辺市	
city	wakayama/kii-suido-wakayama/wakayama	和歌山市	
city	wakayama/kii-suido-wakayama/yuasa	湯浅町	
city	wakayama/kii-suido-wakayama/yura	由良町	
city	wakayama/kumano-nada/kushimoto	串本町	
city	wakayama/kumano-nada/kusimoto	串本町	
city	wakayama/kumano-nada/nachikatsuura	那智勝浦町	
city	wakayama/kumano-nada/nachikatuura	那智勝浦町	
city	wakayama/kumano-nada/shing	新宮市	
city	wakayama/kumano-nada/taiji	太地町	
