primary_type	name	slug	lead_text
fishing_facility	三崎港	misaki-ko	三浦半島の南端に位置する三崎港。城ヶ島との間は東京湾と相模湾の潮が交わり、潮通しが非常によい地形です。花暮岸壁（通称「はなぐれ」）は岸壁際からドン深の砂泥底で、ところどころ根が混じります。メジナは5〜11月を中心に顔を出し、夕まづめの時合いに活性が上がる傾向があります。港内という立地から魚はスレ気味で、コマセで群れを寄せても人の姿や竿を見せると警戒しがちです。常連はウキフカセで早朝から釣り座を押さえに来ます。
fishing_facility	三浦漁港	miura-gyoko-kihoku	三重県北牟婁郡紀北町に位置する小規模な漁港で、熊野灘に直接面しているぶん潮通しのよさが際立っています。釣りポイントは堤防と船着き場の2か所で、メインの堤防は沖側を遮るものがなく、潮流の変化がダイレクトに感じられます。堤防の中ほどにはアオリイカの墨跡が点在しており、秋イカシーズンはエギングの常連が集まります。朝マズメに合わせて夜中から入る釣り人も多く、潮の動き出しを狙うのがここでの定石です。クロダイとメジナはフカセで堤防際をじっくり流すスタイルが地元では主流となっています。
fishing_facility	三谷漁港	mitsuya-gyoko	蒲郡市三谷町に位置する三河湾北岸東部の漁港です。底引き網漁が盛んな第3種漁港で、漁港左側の堤防とテトラ帯、右側の岸壁の3エリアで釣りができます。防波堤の先端部分は低くなっており、浮き釣りや落とし込みでクロダイを狙う常連が集まる定番ポイントです。左端のテトラ帯は駐車場からも近く、クロダイやカサゴ狙いに使われています。シロギスやアジも実績があり、夏から秋にかけてが全体的に魚影の濃い時期です。広い釣り場の割に混雑しにくく、のんびり竿を出せる雰囲気があります。
fishing_facility	上総湊港	kazusa-minato-ko	湊川の河口に隣接する富津市の漁港で、内房エリアでは規模の大きな港のひとつです。底質は砂地で、港内の水深は2〜3メートルほど。堤防先端ではクロダイの実績があり、港内の水深があるポイントではウキ釣りやダンゴ釣りが定番のスタイルです。クロダイは春と秋に活性が上がる時期として知られており、常連はこの季節に集中して通います。コウイカは砂地底質のエリアを好む習性から、港内や沖向きの堤防まわりが有望で、アジやイワシなど回遊魚の群れが入る時期とも重なる秋が狙いどきとされています。南寄り・東寄りの風には比較的強い地形です。
fishing_facility	下多賀港（池田港）	shimotaga-ko	熱海市下多賀に位置する小規模漁港で、入口がわかりにくく駐車場もないため地元の常連が中心の穴場です。港内の底質は砂地で水深は最深部でも5メートル未満と浅め。テトラ帯左側の沈みテトラ周りが特に実績の高いポイントとして知られており、波のある日はメジナやクロダイがテトラ際に寄りやすくなります。アオリイカはエギングで狙われ、アジは夜の時間帯に実績があります。春先にはクロダイの50センチクラスも出た記録があります。
fishing_facility	下津港	kinomoto-gyoko	海南市下津町に広がる下津港は、港湾合同庁舎前の岸壁と沖山波止など複数のポイントで構成される大型漁港です。奥まった地形で潮の流れは比較的緩やか、水深も浅めで足場の安心感があります。港最奥部ながら意外と流れがしっかり入り、アジはその潮に乗って回遊してきます。夏場は豆アジサイズが中心で、冬場になると尺近いサイズも交じります。潮は右から左（東向き）に流れることが多く、小波止の東側に魚が溜まりやすいため、地元のエサ釣り師もこちら側に集中する傾向があります。大阪市内よりシーズンインが早めで、市内でまだアジやイワシの回遊が見られない時期でも釣果が出ることがあります。クロダイは沖山波止での実績があり、常連は紀州釣りスタイルで狙います。
fishing_facility	下洲港	shimosu-port	この釣り場は現在、釣り禁止となりました。
fishing_facility	久留和漁港	kuruwa-gyoko	三浦半島西岸、横須賀市秋谷に位置する久留和漁港は相模湾に面した小さな漁港です。久留和川河口の導流堤まわりと北側の石積み堤防がクロダイを狙える主なポイントで、足元の捨て石に甲殻類が豊富に着いています。底質は砂地が主体で水深は浅め。地元の常連は春の乗っ込み期から夏にかけて、日没後の時間帯を中心に竿を出す人が多いようです。隣接する葉山と比べて人が少なく静かな土地柄で、週末でも混雑しにくい点が通い続ける理由のひとつになっています。
fishing_facility	乙浜港	otohama-ko	南房総市最南端の白浜エリアに位置する乙浜港は、千倉港と並ぶ規模の大きな港で、黒潮の恩恵を受けて水温が高く、一年を通して魚種が豊富です。東側の小堤防はクロダイのダンゴ釣りで知られる遠矢国利名人のホームグラウンドで、水深5m以上、海底は砂泥とゴロタ石に海藻が混在した地形です。クロダイは春の乗っ込み期が狙い目で、タナは底スレスレ5m前後が定石。アオリイカはこの東堤防に実績が多いものの、エギ禁止の表示があり泳がせ・ヤエンが主流です。アジは常夜灯まわりで夕マズメ以降に群れが入り、秋にはイナダやカンパチも9月上旬から回遊します。
fishing_facility	伊豆大川港	izu-okawa-ko	東伊豆町大川温泉のすぐ隣に位置する小さな漁港で、波止先端部が主なポイントです。水深は全体的に浅めで、足場の良い堤防からの釣りが基本となります。外向きテトラは立入禁止のため、釣りは内側の堤防に限られます。アジは夏から秋が本番で、堤防先端やや左側が実績ポイント。常連の中には、サビキで確保したアジをそのまま泳がせてアオリイカを狙う人も多く、秋口にはその両方を一度に楽しめることもあります。朝マズメにはアジのほかカマスやサバが混じることもあり、地元勢は早朝から足を運ぶスタイルが定番です。
fishing_facility	初声漁港	hatsuse-gyoko	三浦市初声町三戸に位置する小さな漁港で、釣り人からは「三戸浜堤防」の名で親しまれています。港内は水深3メートルほどの浅場で、堤防は外海側に向かって2段構造になっています。クロダイとメジナは先端部のテトラ帯がメインポイントで、ウキフカセやダンゴ釣りで狙う人が多く、三浦半島の乗っ込みが本格化する4月頃になるとテトラ周りに腰を据えるフカセ師が増えます。夕方になるとアジが回遊してくるため、常連はその時間帯に合わせて竿を出しに来ます。夜は港内の静けさを活かしたアジングも面白いポイントです。
fishing_facility	北川港	kitagawa-ko	冬から春にかけてはフカセ釣り師が多く入り、条件が整った日にはかなりの確率で人が集まる人気ポイントです。
fishing_facility	千葉港中央ふ頭（千葉ポートパーク）	chiba-ko-chuo-futo	千葉港中央ふ頭は、千葉ポートパークのシーガル広場前に広がる約500mの護岸です。沖の海底が砂泥地でマコガレイの魚影が濃く、11月下旬から翌春にかけてのシーズン中は夜になると竿がずらりと並ぶほどの賑わいになります。岸壁は2段構造で柵付き、足元の水深は3〜4mほどです。近隣の釣具店は上州屋稲毛店が利用されることが多いです。
fishing_facility	吉田港	yoshida-ko	駿河湾に面した吉田漁港は、湯日川からの淡水が流れ込む外港と内港を持つ汽水域の漁港です。魚市場前の岸壁が主なサビキポイントで、底質は砂泥底、中堤防付近の水深は2.5〜3mほど、航路に沿って沖へ深くなる駆け上がりが形成されています。漁協左右の護岸は車の横付けが可能で、アジやイワシの回遊が入るシーズンには家族連れの姿も多く見られます。しらす漁で知られる港だけあって、春から初冬にかけてはベイトの気配が途切れにくく、サビキには小サバやサッパが混じることもあります。
fishing_facility	四日市港・ゆめくじら周辺	yokkaichi-yumekujira	四日市港・霞ヶ浦緑地に隣接する「ゆめくじら」周辺の護岸は、霞埠頭へ渡る橋の手前に広がる港内の浅場エリアです。水深が非常に浅く、干潮時はほぼ釣りにならないため、潮位を見計らって中〜満潮前後に入るのが地元の常識となっています。クロダイは4〜6月が最盛期ながら真冬の1月でも4〜6枚の釣果が出るほど魚影が濃く、ヘチ際の落とし込みが定番です。ハゼは夏〜秋にかけて地元ブログへの釣行記が増え、家族連れが多く訪れます。サッパやアジも回遊期に顔を出します。
fishing_facility	地頭方港	jitokata-ko	御前崎港に隣接する牧之原市の静かな小漁港です。漁協前の岸壁沖合は水深4.5〜5メートルほどで、岸沿いの方がやや掘れた地形になっています。底質は砂泥底に石や低い根が混じり、根掛かりが生じることもあります。北側の護岸は潮通しが良い一方、全体的に浅めで遠浅サーフへとつながります。春から初夏はアオリイカのエギング、秋はアジングやカマス狙いで常連が集まります。コマセ釣りではアジやメジナが混じり、夕方以降にゴンズイの活性が上がる傾向も地元では知られています。
fishing_facility	城ヶ島岸壁	jogashima-ganpeki	三浦半島の最南端・城ヶ島の北西側に約200メートル続く岸壁です。岸壁下はえぐれた構造になっており、岸壁際にはゴミや障害物が沈んでいるため根がかりに注意が必要です。アオリイカは岸壁・冷蔵庫前エリアが島内では比較的根がかりの少ないエギングポイントとして知られており、秋イカ（9月中旬〜10月末）のシーズンには多くのエギンガーが訪れます。人気の釣り場のため、釣り座確保は早朝3時頃に来ないと難しいという声も常連から聞かれます。夜間は明暗が生まれメバルの活性も上がります。
fishing_facility	大井ふ頭中央海浜公園なぎさの森	oi-futo-chuo-kaihin-koen-nagisa-no-mori	品川区の京浜運河沿いに広がる都市公園で、「しおじ磯」「夕やけなぎさ」「はぜつき磯」「みどりが浜」の4エリアが約1kmにわたって続きます。人工磯の岸際は水深50cm程度と浅いですが、石が切れる沖側から水深5〜6mまで急激に落ち込む地形で、クロダイは夏場の夜間に実績が高め。下げ潮時には夕やけなぎさ方面から沖へ流れが生まれ、北側の銀色モニュメント周辺に魚が集まりやすい傾向があります。
fishing_facility	大井川港・大井川河口	oigawa-ko	駿河湾に注ぐ大井川の河口東側に位置する大規模港で、サーフと岸壁が隣接する変化に富んだ地形が特徴です。港内北側の造船所横の岸壁は水深7〜8メートルが確保されており、白灯堤防先端付近も35m沖で7.5m前後の砂泥底が広がります。河口サーフは石混じりの砂泥底で、岸壁際から35m地点で6.5m前後。台風シーズン以降に大井川から濁りが入り始める9月〜11月が、スズキやヒラメを狙う地元常連が最も足繁く通う時期です。港内の半分は企業岸壁で立入禁止となっているため、現地の表示確認は必須です。
fishing_facility	大川港	okawa-ko	房総半島最南端・南房総市に位置する大川港は、千倉～野島崎間の岩礁地帯を利用して造られた中規模漁港です。港全体が岩礁の上に成り立つ構造で、干潮時には港内のいたるところに岩が露出するほど水深が浅く、外堤防先端は磯と堤防が一体化したレアな足場になっています。釣り人が少ないぶん魚がスレておらず、常連は外堤防の先端に絞って竿を出すのが定石。アジとシマアジは夏から秋にかけて外海側から回遊が差し込み、潮の動く時間帯に短時間の食いが集中する傾向があります。
fishing_facility	大磯港	oiso-ko	相模湾に面した大磯港の中央岸壁は底質が砂泥地で、朝夕のまずめ時に豆アジや小サバの群れが回遊してきます。常連の間では「日が高くなる前の8時頃がピーク」と言われており、夏から秋にかけて特に活性が上がります。駐車場側の「フェンス前」と呼ばれるポイントはクロダイやマダコの実績も高い隠れた一等地で、秋口に外海が荒れた際は港内にカイズが入りやすく、ウキ釣りやヘチ釣りの常連が早朝から場所を押さえにきます。
fishing_facility	天津港	amatsu-ko	千葉県鴨川市・外房に位置する天津港は、港内の水深が4〜6mあり、砂地底の岸壁と一段高くなった小突堤がクロダイ狙いの定番スポットです。港内は潮が澄んでいることが多く、ダンゴ釣り師が年間を通じて竿を出しています。なかでも通称「タンク前」と呼ばれる港奥の岸壁は秋口のカイズ（小型クロダイ）の数釣りで知られ、9月以降になると常連の姿が増えます。ボラが多く居着いているため、比重のあるダンゴで手早く底まで送り込むのが現地での定石。エサ取りが多い日や食い渋り時にはフナムシが特エサになると地元で語られています。
fishing_facility	宇佐美港	usami-ko	東伊豆の伊東市北部、大崎の南側に位置する漁港です。港東側から沖へ伸びる赤灯堤防がメインポイントで、底質は砂泥が主体ながら石や根が混じります。手前の水深は浅く底まで見通せるほどで、早春はカマス狙いの常連が集まり、その後メジナやウミタナゴがウキ釣りで混じるようになります。冬にはヒラソウダが回ることもあり、港外側のテトラ帯ではカサゴ・クロダイ・シロギスと、季節ごとに顔ぶれが変わるのがこの港の特徴です。
fishing_facility	安乗漁港	anori-gyoko	的矢湾の湾口に位置する安乗漁港は、外洋に向かって張り出した弁天波堤が一番人気のポイントです。白灯台周辺の水深は8メートルほどで、海底には海藻が豊富に広がっています。アジは夏から秋にかけて回遊が盛んになり、地元・鵜方からの常連も多く詰めかけます。製氷場そばの護岸には常夜灯があり、夜間のアジングも定番。朝マズメに遠投サビキで20cmオーバーを狙うスタイルが港内で広く見られます。
fishing_facility	安良里港	arari-ko	西伊豆町の安良里港は、山に囲まれた巾着型の入り江を丸ごと港にした地形が特徴です。北側の岸壁沿いは足元から水深6.5m前後を保ち、沖40mほどで15m前後まで落ち込む急深な地形。底質は砂泥と細かい根が混じります。港内にはアオリイカの産卵床が設置されており、春から初夏は産卵で接岸する大型の親イカ、秋は新子の数釣りと、通い慣れた地元勢が時期を分けてエギングやヤエン釣りに訪れます。まずめ時や夜間が特に活性が上がりやすく、夜釣り禁止エリアには注意が必要です。
fishing_facility	富津新港	futtsu-shinko	富津岬の北東に位置する大型港で、大型船が入る岸壁は足元から水深5〜6mほどあります。周辺はアマモの群生地になっており、多彩な魚が集まりやすい環境です。クロダイは防波堤のコンクリート継ぎ目など変化のある壁際が狙い目で、ウキフカセやヘチ釣りで実績があります。初夏はシリヤケイカ、秋はアジの回遊も見られます。西防波堤は立入禁止のため、港内の広い岸壁エリアでの釣りになります。
fishing_facility	富洲原漁港	tomisuhara-gyoko	四日市市北端、伊勢湾奥に面した富洲原漁港は、漁港左側のテトラ帯がクロダイの実績場です。テトラ手前は浅く海底が見えるほどですが、先端付近にかけて水深が増し、ウキフカセやダンゴ釣りで狙うベテランが通います。漁港周りには橋脚や捨て石など障害物が多く地形が複雑で、夕まずめから夜にかけてヘチ際にクロダイとセイゴが寄りやすい環境が整っています。真冬を除けばほぼ通年狙え、春先は良型の便りが増える時期です。
fishing_facility	富浦新港	tomiura-new-port	富浦新港は内房・南房総市の多田良海岸に面した漁港で、現在は東堤防の外洋向きのみ釣りが可能です。水深は4メートル弱で海底は砂地。黒潮の影響を受けやすいエリアならではの豊かな魚影が特徴で、アジとサバの群れが季節を問わず回りやすく、サビキ仕掛けを落とすと豆アジが連発することも珍しくありません。常連は潮が動き始める早朝から入ることが多く、日が高くなるにつれてサバの回遊が活発になる傾向があります。漁船係留側への仕掛けの投入はルール違反となるため、外向きに限定して竿を出すことが鉄則です。
fishing_facility	富浦旧港	tomiura-old-port	夜釣りが良いのですが、ハエ根が多いので明るいうちにポイントに入り、根の位置を確認しておくのが常連の流儀です。
fishing_facility	小川港	ogawa-ko	焼津市に位置する大型漁港で、隣の焼津港と並んで駿河湾岸の定番釣り場です。魚市場裏の岸壁は岸から35mほど沖で水深約8m、フラットな砂泥底が続きます。東側の突堤エリアは足元3.5m〜航路沿い6.5mと変化があり、砂泥底に根が混じります。タチウオは夜釣りで狙われることが多く、港内に回遊するベイトの動向が釣果を左右します。夏場はアジの群れが港内に入りやすく、常連が早朝から場所を取る光景が見られます。チョイ投げではキスの実績もあります。
fishing_facility	尾崎漁港	ozaki-fishing-port	大阪府阪南市の尾崎町に位置する漁港です。外側の大波止はテトラ帯が広がり、足元は1〜2mの浅場、その先は砂地底が続く地形です。アオリイカのエギングは秋シーズンが本番で、潮当たりのよい大波止先端が定番ポイントです。漁港南側の石積みエリアは地元エギンガーのあいだで注目される場所で、朝夕のまずめ時に実績が集まっています。水質が比較的クリアなため、サイトで追う個体を目視できることもあります。夜釣りではアジングやメバリングに訪れる人の姿も絶えません。
fishing_facility	山海漁港	yamiumi-gyoko	南知多町の山海漁港は、山海川河口に隣接した小規模な漁港で、波止先端部にテトラが敷かれた地形が特徴です。春先から地元の常連が通いはじめ、アジやメバルが波止周りに顔を出す時期として知られています。夏場は海水浴客で周辺が賑わうため、常連たちは朝マズメの早い時間帯に釣り座を確保するのがこの場所での暗黙のルールになっています。テトラ際ではカサゴも混じり、川の河口絡みのポイントではクロダイの実績もあります。
fishing_facility	岩井袋港	iwaibukuro-port	アオリイカの実績も高いエリアで、岩井袋では9月から年末まで禁漁期間が設けられているため、春先にエギンガーが集まります。
fishing_facility	岸和田港	kishiwada-port	大阪湾に面した岸和田港は、沖一文字と旧一文字を擁する泉州エリアの沖波止として知られます。タチウオシーズンの9月初旬、沖一文字の沖向き堤防に二桁釣果が複数出た翌日には渡船が定員近くで出船するほどの活況を見せた記録があります。旧一文字は混雑が比較的緩やかで、常連が夕暮れ前から釣り座を押さえてテンヤで地合いを待つのが習慣になっています。満潮に向かう上り潮の夜間が時合いとされています。
fishing_facility	川越釣り桟橋（JERA海釣り桟橋）	kawagoe-tsurizanbashi	朝明川河口に位置するL字型桟橋（全長65m）で、周囲は干潟に囲まれた浅場の砂底です。ハゼのシーズンは夏から秋にかけてで、地元の常連は日が落ちてからアオイソメやカメジャコのブッコミ・電気ウキで狙うスタイルが主流。セイゴやアナゴと混じりながら数を伸ばすのがこの場所らしい釣り方です。桟橋の陸側にはテトラが沈んでいる箇所があり根掛かりが多め。温排水の影響で水温が安定しており、11月以降も夜間にセイゴが桟橋際へ差してきます。
fishing_facility	市川港	ichikawa-ko	行徳港とも呼ばれる市川塩浜の小漁港で、江戸川河口に近い砂泥底の遠浅エリアが広がります。ハゼのシーズンは5月〜10月で、満潮から下げに変わるタイミングで活性が上がる傾向があり、地元の常連は潮位を見計らって昼前後に竿を出すことが多いです。漁船が停泊している間隙では延べ竿が重宝し、10cm超の良型も交じります。夜はシーバスの気配が濃くなります。釣り禁止エリアが複数あるため、事前に場所を確認してから入釣を。
fishing_facility	常滑港・前島港	tokoname-maejima	知多半島の伊勢湾側に位置する常滑港は、陸に囲まれた湾地形のおかげで西風が強い日でも水面が穏やかで、常連たちが朝マヅメから釣り座を確保しに集まります。岸壁の足元には石積みの基礎が入っており、クロダイが通年居着きやすい構造です。春の乗っ込み期には40cm超の良型を狙い、秋はチンタの数釣りで通い詰める釣り人も多いエリアです。前島港の赤灯波止は潮当たりがよく、岸壁沿いには40cm以上の魚体が目視できる日もあります。
fishing_facility	御前崎港	omaezaki-ko	駿河湾に面した大型漁港で、岸壁水深は砂利埠頭・倉庫前エリアで約7〜8メートルほどあり、沖合30メートル前後まで砂泥底のフラットな地形が続きます。岸壁際はテトラや捨て石が入っているためゴツゴツした底質です。アオリイカは秋口から冬にかけてがシーズンで、地元の釣具店スタッフが仕事前の朝5時台から港に入るほどの活況ぶりです。アジとサバのサビキ釣りは5月ごろから本格化し、夏以降は青物のブリやサワラも港内に回遊します。倉庫前の岸壁からはメタルジグを沖にフルキャストすると船道まで届くため、青物ねらいの常連にも人気のポイントです。
fishing_facility	御宿港	onjuku-ko	千葉県外房に位置する御宿港は、砂浜と岩礁帯に挟まれた中規模漁港です。右堤防先端はフェンスで立入禁止のため、港内左側の砂泥地エリアが主な釣り場となります。港内は護岸足元から沖に向かって水深が急に深くなるカケアガリ地形で、クロダイは潮位の高い時間帯が狙い目とされ、地元の常連はダンゴ釣りを港内で実践しています。アジは夜間の常夜灯周りでアジングの釣果報告が多く、秋にはアオリイカの回遊も見込めます。なお港内はコマセ禁止のルールがあります。
fishing_facility	新官港	shinkan-ko	堤防外側テトラ帯は沖の岩礁帯との間が魚の通り道となり、常夜灯の明かりがこぼれる夜間はアジングの好機です。
fishing_facility	新宿港	shinjuku-ko	三浦半島・長井地区に点在する漁港のひとつで、相模湾に面した静かな小港です。左堤防先端の赤灯台まわりは岸壁に変化があり魚が居つきやすい一方、右側エリアは水深が浅く、干潮時には港内を歩いて渡れるほどです。港内は潮通しが穏やかなため、やや波が立つ日のほうがクロダイの活性が上がりやすく、常連勢は波気のある日を選んで入ることが多いようです。電灯があるので夜釣りにも対応しており、春の乗っ込み期から5月頃にかけては地元の釣り師が頻繁に顔を出す時期です。
fishing_facility	新居弁天海釣公園	arai-benten-fishing-park	浜名湖と遠州灘をつなぐ今切口のすぐ脇に立つ海釣公園です。5基のT字堤防が沖へ伸び、先端へ向かうほど潮の流れが速くなる地形が特徴です。4番堤防まわりは岩場と海藻が豊富で、クロダイやメバルを狙う常連が通い詰めるポイントになっています。春〜秋の朝マズメにはアジやイワシのサビキが活発で、水深1〜5mを意識する釣り人が多いです。航路筋ではシーバスや青物の回遊も見られますが、潮流が速くお隣とのラインの絡みには要注意です。
fishing_facility	新師崎港	shin-morozaki-ko	この釣り場は現在立入禁止となりました。
fishing_facility	暁ふ頭公園	akatsuki-futo-koen	お台場の南端、江東区青海に位置する暁ふ頭公園。約200mの護岸はエリアごとに地形が異なり、公園左端（海を正面にして）は水深5〜7mと最も深く、クロダイやシーバスの実績が高いポイントとして知られています。中央付近は岩礁帯と砂地の境目がクロダイを引き寄せる複合底質を形成。春から秋にかけてシーバスの魚影も濃く、3〜6月のバチ抜けシーズンには特に活性が上がる傾向があります。近隣に釣具店はないため、エサは事前の準備が必須です。
fishing_facility	有明西ふ頭公園	ariake-nishi-futo-koen	東京ビッグサイト裏手、江東区有明の護岸釣り場です。公園全域で投げ釣りは禁止ですが、岸壁にはイガイが豊富に付着しており、それを目当てにクロダイが寄りついています。ふ頭先端南側は潮溜まりになりやすくベイトも集まるため、ヘチ釣りや落とし込みでのクロダイ実績が高いポイントです。奥に進むほど水深が増し、最奥付近では約10mに達します。クロダイは3月〜12月が主なシーズンです。
fishing_facility	木更津港	kisarazu-ko	東京湾奥の木更津港は遠浅な地形が多いなかで、大型船が往来する内港公園護岸だけは水深が確保されており、砂地の底にカレイが落ち着きやすい条件が揃っています。鳥居崎護岸も底質は砂地ですが、干潮時は海底が露出するほど浅くなるため、常連は満潮前後に絞って竿を出しています。冬は釣り人が減る分だけ大型と静かに向き合える時期で、内港南側の大型船航路寄りが型狙いのポイントとして知られています。
fishing_facility	榎戸漁港	enokido-gyoko	知多半島西岸では珍しく水深がある漁港として、常連から「ドン深」と称される北側新堤のテトラ帯がメインポイントです。テトラは比較的小ぶりで乗りやすい一方、高さがあるため満潮前後が狙い目とされています。クロダイは3月〜12月と長いシーズンで、南側堤防の先端は夜釣りで実績が出やすく、海底の砂地と根が混在するこのエリアにフカセ・前打ちの両スタイルの釣り人が通います。
fishing_facility	樽井漁港	tarui-fishing-port	泉南市に位置する樽井漁港は、波止が途中で右に折れる全長約300メートルの小規模な漁港です。クロダイ狙いの常連が足を運ぶのは、波止の曲がり角付近の外向きテトラ。左右から潮流が当たる波止先端は、干潮前の流れが右斜め前方へ向くタイミングにアタリが集中しやすく、エビ撒きやスルスル釣りで実績があります。テトラは全体的に浅めで、潮と時間帯を選ぶのがここのセオリーです。
fishing_facility	江之浦漁港	enoura-gyoko	相模湾に面した小田原西側の小漁港で、東に小田原市街、西に真鶴を望む立地ながら潮通しは良好です。堤防先端付近は海面まで約5mほどの高さがあり、50m沖では水深10m以上と比較的急深な地形が特徴。港内には海藻が茂るエリアがあり、アオリイカの好ポイントとして知られています。秋はベイトがたまりやすく新子が多く浮き、春は大型の実績があります。西湘エリアでもイカ実績の高い漁港として常連に知られており、堤防先端の角を中心にエギングを組み立てる釣り人の姿が目立ちます。
fishing_facility	河和漁港	kowa-gyoko	知多半島南部、美浜町の三河湾側に位置する小ぶりな漁港です。北の河和港より人が少なく、釣りに集中したい地元常連に好まれています。堤防外海側にテトラが入り、そのテトラの切れ目が最大のポイント。水深は浅めのため、クロダイは波気や濁りのある日、あるいは夜釣りで狙うと実績が高く、5月から11月の期間はカニや岩虫を使った前打ちが定番スタイルです。テトラ際の岩の隙間ではメバルのブラクリ釣りも成立し、胴突き仕掛けでの釣果も寄せられています。
fishing_facility	泉佐野マリーナ周辺護岸	izumisano-marina-gokan	泉佐野漁港内のヨットハーバー隣に位置する南西護岸。護岸延長は約180mで、水深は4〜6mほど。港の外側に前島波止が張り出す構造上、潮通りや水質はやや落ち着いた環境です。足元から水面まではおよそ1〜1.5mと低めで、護岸壁際にクロダイが居着きやすい地形になっています。夏から秋口にかけてクロダイの活性が上がる時季を狙い、フカセや前打ちで通い込む常連の姿が見られます。
fishing_facility	浦賀港	uraga-ko	三浦半島の付け根、東京湾口に面した浦賀港は、陸軍桟橋と駐車場裏が主なクロダイのポイントです。海底は砂地で、小高い山に囲まれた地形のおかげで風に強く、荒れ気味の日でも釣り座を構えやすいのが特徴。春から秋にかけて地元の常連が通い、40cm前後の良型も顔を出します。特に満潮前後の午前中に入るアングラーが多く、ウキダンゴ釣りが主流。港内は釣り禁止エリアが多いので、事前に可否を確認してから入るのが地元流です。
fishing_facility	海野漁港	kaino-gyoko	三重県紀北町に位置する熊野灘に面した小規模漁港で、隣接する紀伊長島港と比べて釣り人が少なく、静かな環境が保たれています。釣り場は外側堤防・内側堤防・砂利交じりの砂浜の3か所で構成され、外側堤防は全面に消波ブロックが入った南向きの構造です。常連はテトラに下りてフカセ釣りを展開し、夜明け前後の時合を狙うスタイルが定着しています。クロダイ・メジナは遠投深場を意識したウキ下3ヒロ半前後の設定で実績があり、秋から冬は外向きポイントにアオリイカも回遊します。
